Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-08-08,2024-08-12 21:13 CEST,BIS,"https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.AR?","https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.AR?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-10-31,F:Free,,A:Normal value,512.39
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-11-30,F:Free,,A:Normal value,502.81
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-12-31,F:Free,,A:Normal value,490.53
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-01-31,F:Free,,A:Normal value,503.19
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-02-28,F:Free,,A:Normal value,251.64
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-03-31,F:Free,,A:Normal value,214.16
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-04-30,F:Free,,A:Normal value,195.13
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-05-31,F:Free,,A:Normal value,181.66
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-06-30,F:Free,,A:Normal value,175.38
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2002-07-31,F:Free,,A:Normal value,184.1
